_dataorbit_sync_id,_dataorbit_synced_at,_dataorbit_is_deleted,hs_object_id,email,firstname,lastname,company,jobtitle,lifecyclestage,associated_company_id,hubspot_owner_id,properties
1a5d48ed-7364-4d9e-bb5c-c10d31420a50,2026-03-27 17:37:47,False,HS-CON-0000001,liam.kim.0@client001.example.com,Liam,Kim,North Capital 1,Founder,lead,HS-COMP-000001,HS-OWN-0005,"{""source"":""Outbound""}"
d174be8d-4cb7-4c7a-aeba-c8cf5fe54b32,2026-03-27 17:37:47,False,HS-CON-0000002,noah.rivera.1@client001.example.com,Noah,Rivera,North Capital 1,Founder,opportunity,HS-COMP-000001,HS-OWN-0005,"{""source"":""Outbound""}"
e3d49384-6391-4539-abbe-0472fa8954b3,2026-03-27 17:37:47,False,HS-CON-0000003,iris.garcia.2@client001.example.com,Iris,Garcia,North Capital 1,Founder,marketingqualifiedlead,HS-COMP-000001,HS-OWN-0005,"{""source"":""Outbound""}"
88cc3176-d80d-4202-9478-2ca996bf3854,2026-03-27 17:37:47,False,HS-CON-0000004,liam.parker.3@client001.example.com,Liam,Parker,North Capital 1,VP Growth,customer,HS-COMP-000001,HS-OWN-0005,"{""source"":""Outbound""}"
695e8637-f1a5-48b7-af1d-d034f8080583,2026-03-27 17:37:47,False,HS-CON-0000005,noah.khan.0@client002.example.com,Noah,Khan,North Retail 2,VP Growth,marketingqualifiedlead,HS-COMP-000002,HS-OWN-0006,"{""source"":""Inbound""}"
f6c04863-8e83-4c3e-9018-4c154a036df1,2026-03-27 17:37:47,False,HS-CON-0000006,isla.shah.1@client002.example.com,Isla,Shah,North Retail 2,VP Growth,customer,HS-COMP-000002,HS-OWN-0006,"{""source"":""Outbound""}"
2f9c6fb1-dd49-4109-ba2b-21de2c33b388,2026-03-27 17:37:47,False,HS-CON-0000007,owen.clark.2@client002.example.com,Owen,Clark,North Retail 2,Founder,customer,HS-COMP-000002,HS-OWN-0006,"{""source"":""Inbound""}"
727d898d-a10c-45f3-be69-236a31100295,2026-03-27 17:37:47,False,HS-CON-0000008,mia.bailey.3@client002.example.com,Mia,Bailey,North Retail 2,Marketing Manager,customer,HS-COMP-000002,HS-OWN-0006,"{""source"":""Referral""}"
4fd90b37-a5cb-4285-98f3-46e2bde5b1c1,2026-03-27 17:37:47,False,HS-CON-0000009,ezra.carter.4@client002.example.com,Ezra,Carter,North Retail 2,VP Growth,customer,HS-COMP-000002,HS-OWN-0006,"{""source"":""Referral""}"
7c4e9d1f-6ff2-4570-8826-ad7eaa7bedd6,2026-03-27 17:37:47,False,HS-CON-0000010,liam.clark.0@client003.example.com,Liam,Clark,Bright Labs 3,VP Growth,opportunity,HS-COMP-000003,HS-OWN-0008,"{""source"":""Inbound""}"
02461afc-64b6-453d-bfee-5f639bec5962,2026-03-27 17:37:47,False,HS-CON-0000011,iris.parker.1@client003.example.com,Iris,Parker,Bright Labs 3,Marketing Manager,marketingqualifiedlead,HS-COMP-000003,HS-OWN-0008,"{""source"":""Outbound""}"
c010b259-753b-47d1-8f9e-2cd7cb9d2f33,2026-03-27 17:37:47,False,HS-CON-0000012,ruby.morgan.2@client003.example.com,Ruby,Morgan,Bright Labs 3,CMO,opportunity,HS-COMP-000003,HS-OWN-0008,"{""source"":""Outbound""}"
d82b7ac7-8f8d-40cc-962d-3a052135bcb5,2026-03-27 17:37:47,False,HS-CON-0000013,ella.garcia.3@client003.example.com,Ella,Garcia,Bright Labs 3,VP Growth,marketingqualifiedlead,HS-COMP-000003,HS-OWN-0008,"{""source"":""Referral""}"
35b0507e-93ca-4f79-8cd5-b43373802841,2026-03-27 17:37:47,False,HS-CON-0000014,luna.evans.4@client003.example.com,Luna,Evans,Bright Labs 3,CMO,opportunity,HS-COMP-000003,HS-OWN-0008,"{""source"":""Inbound""}"
47ecd4af-1441-4ade-99b2-38ad58e45bc3,2026-03-27 17:37:47,False,HS-CON-0000015,noah.parker.0@client004.example.com,Noah,Parker,Nova Retail 4,Marketing Manager,customer,HS-COMP-000004,HS-OWN-0002,"{""source"":""Referral""}"
