_dataorbit_sync_id,_dataorbit_synced_at,id,first_name,last_name,email,is_active,is_contractor,roles,cost_rate,default_hourly_rate,weekly_capacity,created_at,updated_at
2275b9e4-8359-4405-be59-74a9067de7eb,2026-03-27 17:33:21,2000001,Mila,Lopez,mila.lopez.1@agency.example.com,True,False,"[""Executive""]",37.25,89.41,144000,2025-04-07 06:07:33,2026-03-18 13:41:50
50339cc3-e5f6-44aa-bf06-a2571f948bad,2026-03-27 17:33:21,2000002,Mila,Allen,mila.allen.2@agency.example.com,True,False,"[""Executive""]",57.55,135.28,144000,2024-04-30 22:20:01,2026-03-25 10:20:46
f8b36794-49e1-4eb2-ac62-6b0845c6778b,2026-03-27 17:33:21,2000003,Noah,Allen,noah.allen.3@agency.example.com,True,False,"[""Manager""]",87.24,228.32,126000,2024-11-05 07:33:32,2026-02-22 14:11:45
d998de2b-52d0-49a5-b23e-bc24d139748a,2026-03-27 17:33:21,2000004,Luna,Allen,luna.allen.4@agency.example.com,True,False,"[""Contributor""]",71.98,209.76,144000,2024-07-15 16:21:58,2026-02-23 05:37:02
e7f46b01-42cf-4110-8d59-e041872d4277,2026-03-27 17:33:21,2000005,Iris,Morgan,iris.morgan.5@agency.example.com,True,False,"[""Executive""]",28.01,63.46,144000,2024-05-08 12:27:29,2026-02-04 02:13:44
8068a26d-9abd-428d-a7e6-163dcf5f8cdf,2026-03-27 17:33:21,2000006,Ivy,Brooks,ivy.brooks.6@agency.example.com,True,False,"[""Executive""]",54.81,174.62,162000,2024-05-27 17:45:07,2026-03-12 22:42:16
75347f36-b43b-4421-b854-60c0543d57a9,2026-03-27 17:33:21,2000007,Iris,Kim,iris.kim.7@agency.example.com,True,False,"[""Manager""]",59.39,141.75,162000,2024-10-14 04:00:28,2026-03-03 00:27:15
ba80bc0d-3065-47c0-93cc-74bd46450fd9,2026-03-27 17:33:21,2000008,Kai,Reed,kai.reed.8@agency.example.com,True,False,"[""Contributor""]",80.21,264.65,144000,2025-11-14 05:01:23,2026-03-01 13:53:19
80b7a89b-4b95-4055-bbdb-efe1c4ccffec,2026-03-27 17:33:21,2000009,Jude,Price,jude.price.9@agency.example.com,True,False,"[""Contributor""]",46.49,116.7,126000,2025-05-27 08:03:57,2026-02-11 04:05:59
c651ccff-fb33-456c-b499-373bb484b778,2026-03-27 17:33:21,2000010,Ruby,Brooks,ruby.brooks.10@agency.example.com,True,True,"[""Executive""]",39.41,90.69,162000,2025-06-16 17:12:04,2026-03-14 23:29:11
724089ad-8fb2-4f57-9f59-129bd140217c,2026-03-27 17:33:21,2000011,Mia,Price,mia.price.11@agency.example.com,True,False,"[""Executive""]",47.78,153.03,144000,2024-12-07 00:53:16,2026-03-15 17:20:49
065c2cc4-f55d-4811-a7f5-995c2d2a04bf,2026-03-27 17:33:21,2000012,Liam,Khan,liam.khan.12@agency.example.com,True,False,"[""Executive""]",59.57,165.68,126000,2025-09-08 01:56:58,2026-02-26 11:16:55
432f6bd9-ba2b-4e17-af70-5643adef4bdd,2026-03-27 17:33:21,2000013,Mila,Price,mila.price.13@agency.example.com,True,False,"[""Contributor""]",89.3,203.71,162000,2024-05-07 23:55:14,2026-01-26 19:31:15
9a4c5e4f-b2b1-41ce-ba50-8a26aa666080,2026-03-27 17:33:21,2000014,Luna,Wright,luna.wright.14@agency.example.com,True,False,"[""Contributor""]",61.44,178.71,162000,2024-08-09 10:09:16,2026-03-13 20:05:11
ee770d79-b41d-4a75-9a68-0ffaee9f84e5,2026-03-27 17:33:21,2000015,Isla,Lopez,isla.lopez.15@agency.example.com,True,True,"[""Manager""]",84.03,200.6,144000,2025-08-20 18:11:54,2026-03-10 03:13:20
df52abbe-4a5c-453e-938f-6f3fbe13b21e,2026-03-27 17:33:21,2000016,Isla,Khan,isla.khan.16@agency.example.com,True,False,"[""Contributor""]",52.17,140.87,126000,2024-08-19 00:57:06,2026-03-08 23:20:45
c55cbe37-d351-48ad-bc56-f179810732ba,2026-03-27 17:33:21,2000017,Jude,Nguyen,jude.nguyen.17@agency.example.com,True,False,"[""Executive""]",84.28,225.8,162000,2025-04-05 17:58:47,2026-02-03 12:06:59
041f5818-e98a-42e8-aafe-2b1839be5ec4,2026-03-27 17:33:21,2000018,Isla,Parker,isla.parker.18@agency.example.com,False,False,"[""Executive""]",57.55,186.32,144000,2025-07-16 21:25:59,2026-01-31 20:31:43
bf6fcc43-6247-40b8-bd33-b84d7a3a1367,2026-03-27 17:33:21,2000019,Zoe,Bailey,zoe.bailey.19@agency.example.com,True,False,"[""Manager""]",44.84,139.16,162000,2025-10-30 19:51:20,2026-02-25 06:05:32
77ee800b-8a0d-4b70-bbe8-9484c3d133fa,2026-03-27 17:33:21,2000020,Iris,Shah,iris.shah.20@agency.example.com,True,True,"[""Executive""]",51.62,118.72,144000,2024-10-09 12:07:35,2026-02-08 14:23:36
125cb7fb-290b-4c91-992c-dd9d307b3f2d,2026-03-27 17:33:21,2000021,Jude,Shah,jude.shah.21@agency.example.com,False,False,"[""Contributor""]",85.05,273.63,126000,2025-04-08 09:05:31,2026-02-13 06:52:18
32ef048a-1fd0-4085-9363-8da40804df44,2026-03-27 17:33:21,2000022,Owen,Patel,owen.patel.22@agency.example.com,True,False,"[""Executive""]",93.89,284.38,126000,2025-06-19 11:44:03,2026-03-01 05:38:25
