_dataorbit_sync_id,_dataorbit_synced_at,_dataorbit_is_deleted,hs_object_id,email,firstname,lastname,company,jobtitle,lifecyclestage,associated_company_id,hubspot_owner_id,properties
6e222465-3314-44a3-8971-302d29a2dfdb,2026-03-27 17:33:21,False,HS-CON-0000001,liam.kim.0@client001.example.com,Liam,Kim,North Capital 1,Founder,lead,HS-COMP-000001,HS-OWN-0005,"{""source"":""Outbound""}"
6fa1615c-7004-47f7-b455-0537c536384d,2026-03-27 17:33:21,False,HS-CON-0000002,noah.rivera.1@client001.example.com,Noah,Rivera,North Capital 1,Founder,opportunity,HS-COMP-000001,HS-OWN-0005,"{""source"":""Outbound""}"
9d8d1b8a-68fd-4e56-93a1-aecb3ea46966,2026-03-27 17:33:21,False,HS-CON-0000003,iris.garcia.2@client001.example.com,Iris,Garcia,North Capital 1,Founder,marketingqualifiedlead,HS-COMP-000001,HS-OWN-0005,"{""source"":""Outbound""}"
84e3dd10-6f9e-4643-98b4-c80f067357b5,2026-03-27 17:33:21,False,HS-CON-0000004,liam.parker.3@client001.example.com,Liam,Parker,North Capital 1,VP Growth,customer,HS-COMP-000001,HS-OWN-0005,"{""source"":""Outbound""}"
3e0476c2-4a87-4020-ba5d-91462865dedb,2026-03-27 17:33:21,False,HS-CON-0000005,noah.khan.0@client002.example.com,Noah,Khan,North Retail 2,VP Growth,marketingqualifiedlead,HS-COMP-000002,HS-OWN-0006,"{""source"":""Inbound""}"
67386b75-7b34-40bd-ba14-5e7dd50313f7,2026-03-27 17:33:21,False,HS-CON-0000006,isla.shah.1@client002.example.com,Isla,Shah,North Retail 2,VP Growth,customer,HS-COMP-000002,HS-OWN-0006,"{""source"":""Outbound""}"
a02370e6-640e-424c-9c79-72c0e5c6d077,2026-03-27 17:33:21,False,HS-CON-0000007,owen.clark.2@client002.example.com,Owen,Clark,North Retail 2,Founder,customer,HS-COMP-000002,HS-OWN-0006,"{""source"":""Inbound""}"
c0be2dec-74a4-42f6-bb44-4f3336fd146d,2026-03-27 17:33:21,False,HS-CON-0000008,mia.bailey.3@client002.example.com,Mia,Bailey,North Retail 2,Marketing Manager,customer,HS-COMP-000002,HS-OWN-0006,"{""source"":""Referral""}"
54b430bc-d55e-4768-b20e-7550ba69cc96,2026-03-27 17:33:21,False,HS-CON-0000009,ezra.carter.4@client002.example.com,Ezra,Carter,North Retail 2,VP Growth,customer,HS-COMP-000002,HS-OWN-0006,"{""source"":""Referral""}"
c8885bc6-5fd3-48b1-ba6f-10db8ccdc7ce,2026-03-27 17:33:21,False,HS-CON-0000010,liam.clark.0@client003.example.com,Liam,Clark,Bright Labs 3,VP Growth,opportunity,HS-COMP-000003,HS-OWN-0008,"{""source"":""Inbound""}"
4c6ac560-c167-4ffd-b70c-b95b0c3f8ec8,2026-03-27 17:33:21,False,HS-CON-0000011,iris.parker.1@client003.example.com,Iris,Parker,Bright Labs 3,Marketing Manager,marketingqualifiedlead,HS-COMP-000003,HS-OWN-0008,"{""source"":""Outbound""}"
71c46cb4-e0c6-4061-be70-f004c3c029ff,2026-03-27 17:33:21,False,HS-CON-0000012,ruby.morgan.2@client003.example.com,Ruby,Morgan,Bright Labs 3,CMO,opportunity,HS-COMP-000003,HS-OWN-0008,"{""source"":""Outbound""}"
17e748de-3147-43a5-ad46-65b4966d7fa9,2026-03-27 17:33:21,False,HS-CON-0000013,ella.garcia.3@client003.example.com,Ella,Garcia,Bright Labs 3,VP Growth,marketingqualifiedlead,HS-COMP-000003,HS-OWN-0008,"{""source"":""Referral""}"
718e95e4-3b51-4ec1-a655-77e84d865730,2026-03-27 17:33:21,False,HS-CON-0000014,luna.evans.4@client003.example.com,Luna,Evans,Bright Labs 3,CMO,opportunity,HS-COMP-000003,HS-OWN-0008,"{""source"":""Inbound""}"
aeaede8a-c8f1-446b-94f7-d8d9d1ce7bc3,2026-03-27 17:33:21,False,HS-CON-0000015,nora.brooks.0@client004.example.com,Nora,Brooks,Nova Retail 4,Founder,customer,HS-COMP-000004,HS-OWN-0002,"{""source"":""Referral""}"
fe426cd2-56e6-4d3a-970a-1bab68540d5f,2026-03-27 17:33:21,False,HS-CON-0000016,leo.wright.1@client004.example.com,Leo,Wright,Nova Retail 4,VP Growth,opportunity,HS-COMP-000004,HS-OWN-0002,"{""source"":""Outbound""}"
bf59461e-448a-4cf4-9c2d-666a5a3de785,2026-03-27 17:33:21,False,HS-CON-0000017,jude.khan.2@client004.example.com,Jude,Khan,Nova Retail 4,CMO,marketingqualifiedlead,HS-COMP-000004,HS-OWN-0002,"{""source"":""Inbound""}"
e5761f09-758b-4fae-94c0-2d9075c4975b,2026-03-27 17:33:21,False,HS-CON-0000018,jude.patel.3@client004.example.com,Jude,Patel,Nova Retail 4,CMO,opportunity,HS-COMP-000004,HS-OWN-0002,"{""source"":""Referral""}"
bb0b225f-a6fe-45e8-9d91-acf29ce7f9b9,2026-03-27 17:33:21,False,HS-CON-0000019,ivy.rivera.4@client004.example.com,Ivy,Rivera,Nova Retail 4,Founder,customer,HS-COMP-000004,HS-OWN-0002,"{""source"":""Referral""}"
ec1daa31-7722-4ced-b886-049ce93e45f0,2026-03-27 17:33:21,False,HS-CON-0000020,nora.parker.5@client004.example.com,Nora,Parker,Nova Retail 4,CMO,opportunity,HS-COMP-000004,HS-OWN-0002,"{""source"":""Referral""}"
ae22232d-78f0-4c68-88e0-65b2ec5e36c1,2026-03-27 17:33:21,False,HS-CON-0000021,kai.evans.0@client005.example.com,Kai,Evans,Prime Health 5,CMO,lead,HS-COMP-000005,HS-OWN-0006,"{""source"":""Inbound""}"
84b795ce-d7b7-4f91-b46e-d1735b24e164,2026-03-27 17:33:21,False,HS-CON-0000022,mila.lopez.1@client005.example.com,Mila,Lopez,Prime Health 5,Marketing Manager,opportunity,HS-COMP-000005,HS-OWN-0006,"{""source"":""Referral""}"
55162e4f-f187-4e3e-8096-e795e78e0086,2026-03-27 17:33:21,False,HS-CON-0000023,zoe.garcia.2@client005.example.com,Zoe,Garcia,Prime Health 5,CMO,customer,HS-COMP-000005,HS-OWN-0006,"{""source"":""Outbound""}"
7b940867-ade2-462b-b4ca-72ac96382b7b,2026-03-27 17:33:21,False,HS-CON-0000024,leo.evans.0@client006.example.com,Leo,Evans,Blue Digital 6,Founder,opportunity,HS-COMP-000006,HS-OWN-0003,"{""source"":""Inbound""}"
48c0c2e7-a82f-4f53-965c-9285a4a0f8f7,2026-03-27 17:33:21,False,HS-CON-0000025,ivy.garcia.1@client006.example.com,Ivy,Garcia,Blue Digital 6,Marketing Manager,customer,HS-COMP-000006,HS-OWN-0003,"{""source"":""Outbound""}"
96e5d933-742e-4a57-9b3e-b9e724e604ae,2026-03-27 17:33:21,False,HS-CON-0000026,kai.parker.2@client006.example.com,Kai,Parker,Blue Digital 6,CMO,customer,HS-COMP-000006,HS-OWN-0003,"{""source"":""Referral""}"
322641b1-8f91-4998-9c01-f3658ad49a0e,2026-03-27 17:33:21,False,HS-CON-0000027,zoe.morgan.3@client006.example.com,Zoe,Morgan,Blue Digital 6,VP Growth,marketingqualifiedlead,HS-COMP-000006,HS-OWN-0003,"{""source"":""Inbound""}"
0c229e88-552e-4e45-833d-b78ede6888c8,2026-03-27 17:33:21,False,HS-CON-0000028,ezra.garcia.0@client007.example.com,Ezra,Garcia,Nova Retail 7,Marketing Manager,opportunity,HS-COMP-000007,HS-OWN-0006,"{""source"":""Inbound""}"
b28fc3cc-a186-4342-a418-4d59187ba876,2026-03-27 17:33:21,False,HS-CON-0000029,leo.evans.1@client007.example.com,Leo,Evans,Nova Retail 7,Marketing Manager,lead,HS-COMP-000007,HS-OWN-0006,"{""source"":""Inbound""}"
